Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Jan-00,0,0,0,45015.92,3777566,558.41
04-Jan-00,0,0,0,48221.5,12128996,1818.67
05-Jan-00,0,0,0,46430.77,23400610,3136.01
06-Jan-00,0,0,0,44433.55,18408571,2370.96
07-Jan-00,0,0,0,41106.21,2762086,293.85
10-Jan-00,0,0,0,41674.89,13774143,1953.03
11-Jan-00,0,0,0,38970.78,16998087,2225.88
12-Jan-00,0,0,0,40098.4,10883409,1440.49
13-Jan-00,0,0,0,38931.1,12781435,1753.45
14-Jan-00,0,0,0,38980.62,9556909,1281.83
17-Jan-00,0,0,0,39986.65,10126027,1410.03
18-Jan-00,0,0,0,40184.89,12234830,1636.44
19-Jan-00,0,0,0,42040.8,10672554,1565.05
20-Jan-00,0,0,0,42053.87,13386776,1781.83
21-Jan-00,0,0,0,44498.92,13927857,1857.48
24-Jan-00,0,0,0,45887.72,16584494,2225.06
25-Jan-00,0,0,0,47946.4,14813227,2043.6
27-Jan-00,0,0,0,50147.75,14419974,1900.08
28-Jan-00,0,0,0,52634.75,16063380,2159.65
31-Jan-00,0,0,0,50705.62,20932144,2535.33
01-Feb-00,0,0,0,52828.84,17715614,2245.81
02-Feb-00,0,0,0,55348.61,18820298,2338.94
03-Feb-00,0,0,0,57942.12,16284887,1932.36
04-Feb-00,0,0,0,61568.98,16505989,2358.74
07-Feb-00,0,0,0,62957.54,21872549,3289.13
08-Feb-00,0,0,0,61895.17,19727324,2892.07
09-Feb-00,0,0,0,63573.28,21415165,3067.93
10-Feb-00,0,0,0,67288.59,19238221,2836.39
11-Feb-00,0,0,0,71879.95,16920922,2538.26
14-Feb-00,0,0,0,75718.95,18276956,2772.13
15-Feb-00,0,0,0,77024.37,18302864,3122.61
16-Feb-00,0,0,0,80853.71,14506067,2505.55
17-Feb-00,0,0,0,85991.18,18233330,3015.81
18-Feb-00,0,0,0,90027.95,18179125,2993.61
21-Feb-00,0,0,0,95501.55,15033018,3050.52
22-Feb-00,0,0,0,90909.94,18614722,3886.25
23-Feb-00,0,0,0,85082.19,18423831,3861.79
24-Feb-00,0,0,0,82230.22,15542131,3028.69
25-Feb-00,0,0,0,77275.52,10511173,2081.37
28-Feb-00,0,0,0,76282.86,14091297,2377.28
29-Feb-00,0,0,0,74537.88,21015144,4095.44
01-Mar-00,0,0,0,79742.65,10223191,1989.1
02-Mar-00,0,0,0,84763.31,9072865,1623.67
03-Mar-00,0,0,0,82696.52,15072653,2820.63
06-Mar-00,0,0,0,85600.62,9095551,1839.63
07-Mar-00,0,0,0,85595.3,13819940,2802.25
08-Mar-00,0,0,0,85552.65,18777707,4172.98
09-Mar-00,0,0,0,81787.56,15242547,3895.56
10-Mar-00,0,0,0,80159.09,11480032,2874.49
13-Mar-00,0,0,0,73951.85,8403078,2461
14-Mar-00,0,0,0,68430.53,10897865,2473.92
15-Mar-00,0,0,0,66953.33,17180125,3155.78
16-Mar-00,0,0,0,62902.68,14767110,3090.95
21-Mar-00,0,0,0,60907.66,13754568,3126.2
22-Mar-00,0,0,0,65100.88,13070571,2428.3
23-Mar-00,0,0,0,65527.76,15865122,2874.17
24-Mar-00,0,0,0,68919.43,15504119,2789.1
27-Mar-00,0,0,0,71179.7,13616471,2160.28
28-Mar-00,0,0,0,73433.65,16015174,2931.95
29-Mar-00,0,0,0,75545.05,16810024,2717.63
30-Mar-00,0,0,0,70505.73,12866967,2208.68
31-Mar-00,0,0,0,65240.55,8751786,1509.24
03-Apr-00,0,0,0,59926.91,5378362,778.22
04-Apr-00,0,0,0,55134.36,494780,52.41
05-Apr-00,0,0,0,55011.28,6724624,1002.85
06-Apr-00,0,0,0,56163.42,12260874,1588.55
07-Apr-00,0,0,0,60041.69,1311800,140.92
10-Apr-00,0,0,0,64845.59,196452,25.3
11-Apr-00,0,0,0,66487.4,16273774,2540.3
12-Apr-00,0,0,0,65245.86,14313092,2308.9
13-Apr-00,0,0,0,60601.7,13197740,1949.07
17-Apr-00,0,0,0,55686.03,1033672,80.23
18-Apr-00,0,0,0,51763.3,12329328,1560.14
19-Apr-00,0,0,0,49136.39,14423128,1896.11
20-Apr-00,0,0,0,49885.55,8808326,1641.08
24-Apr-00,0,0,0,46967.11,14848814,1729.22
25-Apr-00,0,0,0,45762.22,4968402,587.51
26-Apr-00,0,0,0,48441.49,6954691,724.91
27-Apr-00,0,0,0,46733.72,16665453,2113
28-Apr-00,0,0,0,45085.8,12984936,1434.54
02-May-00,0,0,0,41133.23,11401426,1391.51
03-May-00,0,0,0,38226.77,14748171,1588.28
04-May-00,0,0,0,41810.67,16263564,1539.63
05-May-00,0,0,0,45327.22,18666885,1818.31
08-May-00,0,0,0,41238.92,24775224,2894.85
09-May-00,0,0,0,42959.14,21390598,2183.72
10-May-00,0,0,0,41331.21,25160629,2537.31
11-May-00,0,0,0,37791.85,19268124,1955.29
12-May-00,0,0,0,35637.12,23938676,2248.05
