Month,Year,Close
April,4,1050.329
August,4,892.4422727
December,4,1048.74
February,4,1046.179474
January,4,1003.669048
July,4,904.7772727
June,4,880.0195455
March,4,1001.283182
May,4,954.9690476
November,4,988.953
October,4,937.4925
September,4,917.3827273
April,5,1071.877
August,5,1317.632273
February,5,1146.2855
January,5,1105.77
July,5,1244.201
June,5,1162.851739
March,5,1120.983182
May,5,1119.065455
November,5,1569.9375
October,5,1480.979
September,5,1428.900476
December,5,1569.9375
April,6,2214.771111
August,6,1957.109091
December,6,2217.54
February,6,1946.466316
January,6,1773.314
July,6,1844.741905
June,6,1836.955652
March,6,2150.453182
May,6,2177.326818
November,6,2160.574545
October,6,2215.9715
September,6,2139.91381
April,7,1930.572
August,7,1912.155909
February,7,2237.434211
January,7,2272.2125
July,7,2020.382273
June,7,1934.632857
March,7,1975.399524
May,7,2008.506667
November,7,2173.444762
October,7,2227.615909
September,7,2048.963
December,7,2173.444762
April,8,1876.5475
August,8,1632.078
February,8,1985.088571
January,8,2169.272609
July,8,1502.035217
June,8,1703.350952
March,8,1902.516667
May,8,1949.8505
November,8,1071.53
October,8,1322.5515
September,8,1645.482381
December,8,1071.53
April,9,1461.338824
August,9,2379.246667
February,9,1121.541579
January,9,1083.924
July,9,2127.556087
June,9,2028.978182
March,9,1233.5875
May,9,1738.409
November,9,2863.4995
October,9,2745.509
September,9,2670.9005
December,9,2863.4995
April,10,3229.035
August,10,3633.947273
December,10,4242.59
February,10,2935.4315
January,10,3100.006316
July,10,3490.087727
June,10,3357.816364
March,10,3181.832381
May,10,3168.244286
November,10,4163.649048
October,10,4068.92381
September,10,3852.967143
April,11,3948.735556
August,11,3516.051905
December,11,3604.9
February,11,3533.1375
January,11,3882.975
July,11,3723.295238
June,11,3604.580909
March,11,3652.028636
May,11,3767.783636
November,11,3664.6225
October,11,3701.576316
September,11,3617.668571
April,12,4315.03
August,12,3946.97381
February,12,4103.395
January,12,3570.754545
July,12,3874.129545
June,12,3850.038095
March,12,4143.834091
May,12,4011.320455
November,12,4464.975
October,12,4324.245238
September,12,4140.925
December,12,4464.975
April,13,4292.4675
August,13,4357.4425
February,13,4569.3325
January,13,4807.315217
July,13,4529.002174
June,13,4563.105
March,13,4441.936842
May,13,4716.793478
November,13,5180.3175
October,13,5023.928571
September,13,4639.9625
December,13,5180.3175
April,14,5889.583333
August,14,7305.860526
December,14,8556.1
February,14,5195.192105
January,14,5179.958696
July,14,6973.384091
June,14,6701.238095
March,14,5562.083333
May,14,6192.585714
November,14,8303.263889
October,14,7870.202778
September,14,7921.809091
April,15,8518.178947
August,15,8427.664286
December,15,8419
February,15,8740.845
January,15,8624.183333
July,15,8419.341304
June,15,8210.170455
March,15,8683.357143
May,15,8411.1425
November,15,8269.302632
October,15,8117.0525
September,15,7727.9825
April,16,8190.938889
August,16,9604.668182
December,16,9041
February,16,7308.980952
January,16,7689.5725
July,16,9152.5725
June,16,8725.945455
March,16,7755
May,16,8232.168182
November,16,9301.07381
October,16,10164.91579
September,16,10130.6875
April,17,9996.583333
August,17,10760.88571
December,17,11188.2
February,17,9854.736842
January,17,9646.209524
July,17,10879.80476
June,17,10829.20238
March,17,9847.477273
May,17,10444.71364
November,17,11292.45227
October,17,11115.66
September,17,10879.12381
April,18,11429.72381
August,18,10893.94762
February,18,11191.04737
January,18,11771.86364
July,18,10911.03409
June,18,11057.3
March,18,10889.75263
May,18,11147.31591
November,18,9132.0975
October,18,8893.754762
September,18,10505.50833
December,18,9132.0975
April,19,8642.331579
August,19,6966.2125
February,19,8320.2725
January,19,8687.115217
July,19,7471.767391
June,19,8034.431579
March,19,8530.186842
May,19,8196.363636
November,19,8165.07
October,19,7804.9475
September,19,7292.157895
December,19,8165.07
April,20,5335.911111
August,20,7785.37381
December,20,8987.15
February,20,7733.2825
January,20,8211.8
July,20,7127.619565
June,20,6582.581818
March,20,5781.82381
May,20,5702.605263
November,20,8366.09
October,20,7975.078571
September,20,7914.440909
