Month,Year,Close
April,0,1045.147222
August,0,995.0436364
December,0,946.47
February,0,1149.301429
January,0,1064.961429
July,0,1071.786667
June,0,1069.260909
March,0,1071.422857
May,0,995.2104545
November,0,915.5140909
October,0,856.4457143
September,0,969.5295
April,1,1001.756842
August,1,957.7814286
February,1,1149.429
January,1,1056.969091
July,1,983.6518182
June,1,1009.660476
March,1,1108.027143
May,1,1046.929545
November,1,919.296
October,1,848.6742857
September,1,834.938
December,1,919.296
April,2,1066.843182
August,2,1049.244286
February,2,1051.1785
January,2,916.2573913
July,2,1091.633913
June,2,1108.5085
March,2,1051.619474
May,2,1041.633636
November,2,1033.125789
October,2,1024.07381
September,2,1052.8365
December,2,1033.125789
April,3,1327.684
August,3,1837.159
December,3,2214.85
February,3,1326.251053
January,3,1264.742609
July,3,1759.517391
June,3,1578.641905
March,3,1280.8425
May,3,1486.709524
November,3,2195.668
October,3,2205.370435
September,3,1915.849545
April,4,2998.5055
August,4,2319.540455
December,4,3052.04
February,4,2709.135263
January,4,2774.954762
July,4,2282.617727
June,4,2318.79
March,4,2670.870455
May,4,2674.258571
November,4,2748.5735
October,4,2518.437
September,4,2465.943182
April,5,3444.136
August,5,4167.513636
December,5,4336.4
February,5,3495.7295
January,5,3278.855789
July,5,3901.81
June,5,3580.234783
March,5,3727.825909
May,5,3389.293636
November,5,4230.7475
October,5,4265.66
September,5,4405.747619
April,6,4600.325
August,6,4355.968182
December,6,6330.75
February,6,4505.007895
January,6,4589.845
July,6,3727.135714
June,6,3774.534783
March,6,4649.254545
May,6,4609.690909
November,6,5914.809091
October,6,5355.585
September,6,4866.77619
April,7,5432.465
August,7,6554.202273
February,7,5860.534211
January,7,6041.7325
July,7,6926.213636
June,7,6367.583333
March,7,5200.392857
May,7,6027.778571
November,7,9163.875
October,7,8159.434091
September,7,7173.845
December,7,9163.875
April,8,7123.04
August,8,6102.5875
December,8,4124.3
February,8,8973.716667
January,8,9906.632609
July,8,5372.236957
June,8,5886.921429
March,8,7093.444444
May,8,7277.0825
November,8,4620.333333
October,8,5118.3875
September,8,6165.97619
April,9,4826.117647
August,9,7368.828571
December,9,9250.95
February,9,4206.876316
January,9,4653.07
July,9,7154.756522
June,9,7228.940909
March,9,3788.1525
May,9,6310.6375
November,9,9042.665
October,9,8964.4675
September,9,8047.43
April,10,9609.72
August,10,10718.35909
December,10,12310.75
February,10,8460.9625
January,10,8944.055263
July,10,9851.593182
June,10,9463.722727
March,10,9205.17619
May,10,9406.897619
November,10,12503.31667
October,10,12431.37857
September,10,11817.4381
April,11,11724.20556
August,11,9947.545238
December,11,8895.3
February,11,10582.4375
January,11,10904.5075
July,11,11195.79286
June,11,10785.29545
March,11,11030.67273
May,11,10796.79773
November,11,9083.535
October,11,9480.071053
September,11,9607.547619
April,12,10310.015
August,12,10347.5381
February,12,10501.83
January,12,9014.490909
July,12,10485.58636
June,12,9886.628571
March,12,10317.86364
May,12,9513.022727
November,12,11541.765
October,12,11446.72143
September,12,10633.2925
December,12,11541.765
April,13,11775.8175
August,13,9500.6375
February,13,12249.485
January,13,12706.81957
July,13,11121.85652
June,13,11778.3775
March,13,11651.46579
May,13,12799.93696
November,13,11015.6275
October,13,10615.83571
September,13,10010.3
December,13,11015.6275
April,14,12807.40278
August,14,15316.17368
December,14,18525.3
February,14,10393.7
January,14,10922.16957
July,14,15216.14318
June,14,15253.21667
March,14,12008.59762
May,14,14325.97619
November,14,17698.00556
October,14,16064.29167
September,14,15955.08864
April,15,18402.49211
August,15,18206.23571
December,15,17398.55
February,15,19071.965
January,15,19328.14286
July,15,18704.7087
June,15,17899.75455
March,15,18882.02857
May,15,18241.975
November,15,17097.28684
October,15,17614.1125
September,15,16804.9725
April,16,16264.04444
August,16,19070.35
December,16,18428.45
February,16,14410.11905
January,16,15754.6925
July,16,18637.3575
June,16,17704.10682
March,16,15462.9675
May,16,16763.63182
November,16,19006.40476
October,16,19474.43947
September,16,19869.64
April,17,21756.8
August,17,24393.5381
December,17,25191.95
February,17,20398.37368
January,17,18809.98095
July,17,24030.79048
June,17,23476.97381
March,17,20982.20455
May,17,22825.59318
November,17,25551.225
October,17,24455.535
September,17,24498.05714
April,18,24999.90238
August,18,28000.85952
February,18,25556.50263
January,18,26302.25455
July,18,26917.50455
June,18,26478.15952
March,18,24422.97105
May,18,26099.89318
November,18,26062.3775
October,18,24993.98571
September,18,26474.65278
December,18,26062.3775
April,19,29972.52632
August,19,27847.3675
February,19,27021.645
January,19,27276.20435
July,19,30202.12609
June,19,30916.01053
March,19,28955.70263
May,19,30025.91364
November,19,31077.705
October,19,28884.205
September,19,28238.42368
December,19,31077.705
April,20,19715.11667
August,20,22352.88571
December,20,29817.85
February,20,30675.4275
January,20,31446.3913
July,20,22171.15
June,20,20953.67955
March,20,22936.04048
May,20,18707.21579
November,20,28198.485
October,20,23733.58571
September,20,22194.34318
