Month,year,Close
April,2000,54606.65667
August,2000,37118.03136
December,2000,35254.15
February,2000,73653.30476
January,2000,43997.5555
July,2000,39773.58143
June,2000,40312.93727
March,2000,74023.64286
May,2000,35474.80682
November,2000,33654.95136
October,2000,32453.70143
September,2000,40505.3415
April,2001,15956.62316
August,2001,16201.97619
February,2001,32286.9805
January,2001,31981.86455
July,2001,15550.91955
June,2001,17407.18905
March,2001,20837.17857
May,2001,19149.76182
November,2001,14120.266
October,2001,11573.31143
September,2001,12981.8155
December,2001,14120.266
April,2002,18590.03273
August,2002,14276.05476
February,2002,18414.999
January,2002,18636.16652
July,2002,15497.89174
June,2002,16826.634
March,2002,19163.27526
May,2002,17834.63136
November,2002,17268.89684
October,2002,15778.49
September,2002,15575.5015
December,2002,17268.89684
April,2003,13102.8955
August,2003,13826.6675
December,2003,21706.6
February,2003,16788.18684
January,2003,17910.40522
July,2003,13205.13522
June,2003,12079.93333
March,2003,16078.6185
May,2003,11580.90762
November,2003,19575.0775
October,2003,17793.75
September,2003,16400.37045
April,2004,21005.2575
August,2004,2278.543182
December,2004,2961.4
February,2004,21333.31842
January,2004,23167.03333
July,2004,2153.738636
June,2004,2051.259091
March,2004,20243.19091
May,2004,18701.19286
November,2004,2814.9225
October,2004,2613.185
September,2004,2442.702273
April,2005,2721.1775
August,2005,3048.845455
December,2005,3613.15
February,2005,2868.56
January,2005,2760.497368
July,2005,2973.94
June,2005,2962.25
March,2005,2907.736364
May,2005,2713.634091
November,2005,3476.7075
October,2005,3304.9625
September,2005,3239.785714
April,2006,4375.877778
August,2006,4313.552273
December,2006,5285.3
February,2006,3932.368421
January,2006,3902.0675
July,2006,4026.709524
June,2006,3666.167391
March,2006,4153.815909
May,2006,4193.975
November,2006,5035.927273
October,2006,4776.32
September,2006,4487.447619
April,2007,5245.77
August,2007,4776.186364
February,2007,5625.528947
January,2007,5549.3875
July,2007,5174.959091
June,2007,5228.283333
March,2007,5214.240476
May,2007,5279.430952
November,2007,4411.786364
October,2007,4874.665909
September,2007,4702.6075
December,2007,4411.786364
April,2008,4017.625
August,2008,3885.2775
December,2008,2420.8
February,2008,4006.533333
January,2008,4178.482609
July,2008,3796.502174
June,2008,4306.290476
March,2008,3675.105556
May,2008,4479.7825
November,2008,2452.566667
October,2008,2670.4775
September,2008,3653.257143
April,2009,2560.032353
August,2009,4430.904762
December,2009,5394.4
February,2009,2141.839474
January,2009,2192.2625
July,2009,3771.895652
June,2009,3449.852273
March,2009,2185.8375
May,2009,3005.3275
November,2009,5286.585
October,2009,5024.165
September,2009,4856.445
April,2010,6010.3475
August,2010,6137
December,2010,6723.3
February,2010,5661.4825
January,2010,5868.876316
July,2010,6043.706818
June,2010,5882.663636
March,2010,6004.861905
May,2010,5770.52381
November,2010,6690.72619
October,2010,6736.290476
September,2010,6426.345238
April,2011,6971.561111
August,2011,5556.452381
December,2011,5996.4
February,2011,6844.465
January,2011,7274.555
July,2011,6479.492857
June,2011,6521.786364
March,2011,6780.438636
May,2011,6574.077273
November,2011,6053.865
October,2011,5928.428947
September,2011,5451.67619
April,2012,6071.06
August,2012,5952.145238
February,2012,6518.6825
January,2012,6112.138636
July,2012,5781.656818
June,2012,6019.757143
March,2012,6496.015909
May,2012,5934.152273
November,2012,6122.1475
October,2012,6161.192857
September,2012,6341.1625
December,2012,6122.1475
April,2013,6597.28
August,2013,7901.84
February,2013,6901.475
January,2013,6542.53913
July,2013,7154.708696
June,2013,6449.6675
March,2013,7206.157895
May,2013,6367.367391
November,2013,8848.29
October,2013,8718.6
September,2013,8221.36
December,2013,8848.29
April,2014,9331.994444
August,2014,10456.81579
December,2014,11981
February,2014,9881.097368
January,2014,9859.636957
July,2014,10016.53636
June,2014,9403.619048
March,2014,9601.628571
May,2014,9077.6
November,2014,11600.48611
October,2014,11045.54167
September,2014,11035.75227
April,2015,11710.12368
August,2015,11721.16905
December,2015,11256.3
February,2015,12379.6075
January,2015,11531.40952
July,2015,11259.67609
June,2015,11256.79091
March,2015,12345.36429
May,2015,11332.4175
November,2015,11219.6
October,2015,11600.695
September,2015,11620.745
April,2016,11315.12778
August,2016,10904.73409
December,2016,10049.75
February,2016,10704.08095
January,2016,10979.6975
July,2016,10936.925
June,2016,11297.59318
March,2016,11001.6075
May,2016,11099.825
November,2016,9761.188095
October,2016,10259.73421
September,2016,10388.905
April,2017,10183.20278
August,2017,10610.85952
December,2017,10948.5
February,2017,10355.02895
January,2017,10228.19762
July,2017,10474.9119
June,2017,10364.35476
March,2017,10766.29545
May,2017,10392.11818
November,2017,11141.96591
October,2017,10810.68
September,2017,10535.98333
April,2018,13215.09048
August,2018,15034.68095
February,2018,12628.91579
January,2018,12345.97727
July,2018,14422.77273
June,2018,13813.55238
March,2018,12658.27632
May,2018,13524.50455
November,2018,14419.825
October,2018,14813.84762
September,2018,16026.20278
December,2018,14419.825
April,2019,16101.18158
August,2019,15634.81
February,2019,15831.9275
January,2019,14700.77174
July,2019,15526.95652
June,2019,16220.02368
March,2019,15498.65263
May,2019,15909.64545
November,2019,15289.3475
October,2019,15176.3975
September,2019,15628.60263
December,2019,15289.3475
April,2020,12750.76667
August,2020,18067.20714
December,2020,22170.85
February,2020,16411.6475
January,2020,16177.99783
July,2020,16532.01522
June,2020,14585.15455
March,2020,13356.3
May,2020,13569.33684
November,2020,21433.0975
October,2020,21374.60952
September,2020,19104.24091
