Month,Year,Close
April,5,981.4535
August,5,1096.567273
December,5,1253.21
July,5,1043.6155
June,5,1027.547826
May,5,989.6977273
November,5,1194.814
October,5,1159.914
September,5,1161.022857
January,5,981.4535
February,5,1027.547826
March,5,989.6977273
April,6,1495.152778
August,6,1371.604545
December,6,1514.34
February,6,1320.904737
January,6,1338.519
July,6,1286.968095
June,6,1235.113478
March,6,1359.012273
May,6,1510.115
November,6,1540.685909
October,6,1499.3575
September,6,1478.441429
April,7,1597.963
August,7,1738.930455
February,7,1598.769474
January,7,1604.856
July,7,1809.152273
June,7,1754.582857
March,7,1479.457143
May,7,1755.704286
November,7,2665.026818
October,7,2299.011818
September,7,1912.799
December,7,2665.026818
April,8,2507.1065
August,8,2665.026818
December,8,1407.52
February,8,2500.469524
January,8,2879.526957
July,8,2097.261304
June,8,2202.257143
March,8,2360.917778
May,8,2505.6515
November,8,1449.894444
October,8,1665.6365
September,8,2220.779524
April,9,1909.780588
August,9,2473.189524
December,9,2665.81
February,9,1531.856842
January,9,1489.66
July,9,2325.068261
June,9,2441.956364
March,9,1551.785
May,9,2180.135
November,9,2559.7195
October,9,2633.9785
September,9,2613.933
April,10,2549.6645
August,10,2822.895909
December,10,2848.16
February,10,2518.4615
January,10,2674.554211
July,10,2838.663182
June,10,2717.554545
March,10,2534.191429
May,10,2541.317143
November,10,2933.387143
October,10,3016.169048
September,10,2967.06
April,11,2772.391111
August,11,2481.90381
December,11,2341.97
February,11,2581.8875
January,11,2759.1035
July,11,2611.23
June,11,2595.250455
March,11,2648.341364
May,11,2672.46
November,11,2394.8215
October,11,2473.697368
September,11,2467.211429
April,13,2462.7785
August,13,2226.244
February,13,2575.9795
January,13,2604.802174
July,13,2438.350435
June,13,2402.0475
March,13,2485.287895
May,13,2533.488696
November,13,2367.971
October,13,2361.88619
September,13,2314.142
December,13,2367.971
April,14,2734.721111
August,14,3219.020526
December,14,3210.14
February,14,2367.316842
January,14,2381.985652
July,14,3219.545909
June,14,3313.989048
March,14,2588.33381
May,14,3042.88619
November,14,3272.926111
October,14,3223.052222
September,14,3340.841364
April,15,2945.560526
August,15,2900.230476
December,15,2932.33
February,15,3013.7585
January,15,3008.899048
July,15,3117.788696
June,15,2996.143636
March,15,2902.937143
May,15,2929.077
November,15,2842.213684
October,15,2847.4925
September,15,2680.709
April,16,2938.452778
August,16,3333.667727
December,16,3592.58
February,16,2718.855238
January,16,2943.6275
July,16,3197.2255
June,16,2967.019545
March,16,2823.6165
May,16,2901.239545
November,16,3574.867619
October,16,3708.770526
September,16,3470.992
April,17,4386.669444
August,17,4598.938095
December,17,4973.21
February,17,3991.376842
January,17,3815.125714
July,17,4350.885714
June,17,4240.489524
March,17,4133.436364
May,17,4362.909091
November,17,5079.730909
October,17,4981.533
September,17,4744.674286
April,18,4725.461905
August,18,5054.96619
February,18,4954.163158
January,18,5138.558182
July,18,4712.151364
June,18,4672.413333
March,18,4791.806842
May,18,4657.226364
November,18,4556.689
October,18,4454.042857
September,18,4988.927222
December,18,4556.689
April,19,5119.006316
August,19,4486.7615
February,19,4637.6365
January,19,4589.256522
July,19,4807.376957
June,19,5119.222105
March,19,5061.254737
May,19,5130.158182
November,19,5289.3835
October,19,5147.902
September,19,4678.823684
December,19,5289.3835
April,20,4005.170556
August,20,5148.220476
December,20,5317.4
February,20,4901.1545
January,20,5163.036
July,20,5029.253043
June,20,4715.568636
March,20,3752.037619
May,20,4218.343158
November,20,5014.9795
October,20,4828.484762
September,20,5080.897273
